needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Cola/Fanta/Sprite 250ml,Cola / Fanta / Sprite 250 мл,,Cola / Fanta / Sprite 250 мл,,Cola / Fanta / Sprite 250 ml,
Miglior 750ml,Miglior 750 мл,,Miglior 750 мл,,Miglior 750 ml,
Red Bull 200ml,Red Bull 200 мл,,Red Bull 200 мл,,Red Bull 200 ml,
"Schweppes Tonic 0,25",Schweppes Tonic 250 мл,,Schweppes Tonic 250 мл,,Schweppes Tonic 250 ml,
Tassay 200ml,Tassay 200 мл,,Tassay 200 мл,,Tassay 200 ml,
Tassay Emerald/Excellent 750ml,Tassay Emerald/Excellent 750 мл,,Tassay Emerald/Excellent 750 мл,,Tassay Emerald/Excellent 750 ml,
Аджапсандал,Аджапсандал,"Овощное рагу из баклажанов, томатов и перца",Аджапсандал,"Баклажан, қызанақ және бұрыш қосылған көкөніс рагуы",Ajapsandali,"Vegetable stew with eggplants, tomatoes, and peppers"
"Американо 0,150",Американо 150 мл,,Американо 150 мл,,Americano 150 ml,
"Американо 0,250",Американо 250 мл,,Американо 250 мл,,Americano 250 ml,
Ассорти Пхали,Ассорти Пхали,"Пхали из шпината, свеклы, рулетики из баклажанов и капусты",Пхали ассорти,"Шпинат, қызылша, баклажан және қырыққабат рулеттерінен жасалған пхали",Phali Assorti,"Phali from spinach, beets, eggplant rolls, and cabbage"
Бадриджани,Бадриджани,"Завитки из обжаренных баклажанов с начинкой из ореховой пасты, чеснока, специй и зелени",Бадриджани,"Жаңғақ пастасы, сарымсақ, дәмдеуіштер мен көкөністер қосылған қуырылған баклажан орамалары",Badridzhani,"Fried eggplant rolls stuffed with walnut paste, garlic, spices, and herbs"
Бараньи ребра в аджике,Бараньи ребра в аджике,Запеченные в аджике ребрышки молодого барашка,Қойдың қабырғасы аджикамен,Аджикада пісірілген жас қозының қабырғалары,Lamb ribs in adjika,Lamb ribs baked in adjika
"Боржоми 0,33",Боржоми 330 мл,,Боржоми 330 мл,,Borjomi 330 ml,
Вода Miglior 0.5,Вода Miglior 500 мл,,Miglior суы 500 мл,,Miglior water 500 ml,
Говяжьи мозги с грибами,Говяжьи мозги с грибами,"Говяжьи мозги, обжаренные с шампиньонами",Сиыр миы саңырауқұлақтармен,Саңырауқұлақтармен қуырылған сиыр миы,Beef brains with mushrooms,Beef brains fried with mushrooms
Грибы на кеци,Грибы на кеци,Запеченные шампиньоны с сулугуни на кеци,Кецидегі саңырауқұлақтар,Кециде сулугуни қосылған пісірілген шампиньондар,Mushrooms on ketsi,Baked mushrooms with suluguni on ketsi
Грузинская груша 450мл,Грузинская груша 450 мл,,Грузиялық алмұрт 450 мл,,Georgian pear 450 ml,
Грузинский луг 450мл,Грузинский луг 450 мл,,Грузиялық шалғын 450 мл,,Georgian meadow 450 ml,
Грушевый милк шейк,Грушевый милкшейк,,Алмұртты милкшейк,,Pear milkshake,
Детская Пицца Маргарита,Детская пицца Маргарита,,Балалар пиццасы Маргарита,,Kids’ pizza Margarita,
Детская Пицца Пепперони,Детская пицца Пепперони,,Балалар пиццасы Пепперони,,Kids’ pizza Pepperoni,
Долма,Долма,Фарш из баранины со специями и зеленью в виноградном листе,Долма,"Жүзім жапырағына оралған қой етінен жасалған тартылған ет, дәмдеуіштер мен көкөністер",Dolma,Minced lamb with spices and herbs wrapped in grape leaves
Домашние разносолы,Домашние разносолы,"Соленые огурцы, грузинская капуста, помидоры, чесночные стрелки, квашеная капуста",Үй маринадтары,"Тұздалған қияр, грузин қырыққабаты, қызанақ, сарымсақ сабақтары, ашытылған қырыққабат",Homemade pickles,"Pickled cucumbers, Georgian cabbage, tomatoes, garlic scapes, and sauerkraut"
Домашний компот из Вишни с нотами эстрагона 450ml,Домашний компот из вишни с нотами эстрагона 450 мл,,Қышамен шие компоты 450 мл,,Homemade cherry compote with tarragon notes 450 ml,
Домашняя лапша с курицей,Домашняя лапша с курицей,Куриный суп с лапшой,Үй кеспесі тауықпен,Кеспе қосылған тауық сорпасы,Homemade noodles with chicken,Chicken noodle soup
Дорадо на углях,Дорадо на углях,,Көмірде пісірілген дорада,,Grilled dorado,
Дыня-ваниль шейк,Дыня-ваниль шейк,,Қауын-ваниль шейк,,Melon-vanilla shake,
Жаркое по-грузински,Жаркое по-грузински,"Филе говядины, обжаренное с овощами, с грузинскими специями и зеленью",Грузиялық бұқтырма,Грузин дәмдеуіштері мен көкөністер қосылған қуырылған сиыр еті филесі,Georgian-style stew,"Beef fillet fried with vegetables, Georgian spices, and herbs"
Жульен с курицей и грибами,Жульен с курицей и грибами,"Шампиньоны, обжаренные с куриным филе в сливочном соусе под сыром",Тауық пен саңырауқұлақ қосылған жульен,"Саңырауқұлақтар, ірімшік астындағы кілегей тұздығында қуырылған тауық филесі",Julienne with chicken and mushrooms,Mushrooms fried with chicken fillet in a creamy sauce topped with cheese
Закуска по-кавказски,Закуска по-кавказски,"Свежие огурцы, помидоры, перец светофор, брынза, микс зелени",Кавказша тіскебасар,"Жаңа піскен қияр, қызанақ, үш түрлі бұрыш, брынза, көкөніс қоспасы",Caucasian appetizer,"Fresh cucumbers, tomatoes, bell peppers, bryndza cheese, and a mix of greens"
Кавказский закат 450мл,Кавказский закат 450 мл,,Кавказдық күн бату 450 мл,,Caucasian sunset 450 ml,
"Капучино 0,2",Капучино 200 мл,,Капучино 200 мл,,Cappuccino 200 ml,
"Капучино 0,3",Капучино 300 мл,,Капучино 300 мл,,Cappuccino 300 ml,
Картофель Фри,Картофель Фри,,Қуырылған картоп,,French fries,
Картофельное пюре,Картофельное пюре,,Картоп пюресі,,Mashed potatoes,
Картофельные лодочки,Картофельные лодочки,,Картоп лодочкалары,,Potato boats,
Катами с лисичками,Катами с лисичками,Запеченное куриное филе с обжаренными лисичками и луком в сливочном соусе,Лисичка қосылған катами,Кілегей тұздығында қуырылған түлкі саңырауқұлақтары мен пияз қосылған пісірілген тауық филесі,Katami with chanterelles,Baked chicken fillet with fried chanterelles and onions in a creamy sauce
