needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
"Имбирь клюква 0,4",Имбирь клюква 400 мл,,Имбирь-бүлдірген 400 мл,,Ginger-cranberry 400 ml,
"Чай Марокканский 0,4",Марокканский чай 400 мл,,Марокко шайы 400 мл,,Moroccan tea 400 ml,
"Чай яблоко базилик 0,4",Чай Яблоко-базилик 400 мл,,Алма-базилик шайы 400 мл,,Apple-basil tea 400 ml,
"Чай облепиха-груша 0,4",Чай Облепиха-груша 400 мл,,Құлпынай-шиповник шайы 400 мл,,Sea buckthorn-pear tea 400 ml,
"Вишня с миндалем 0,4*",Вишня с миндалем 400 мл,,Шие-бадам 400 мл,,Cherry-almond 400 ml,
"Дикая вишня 0,4",Дикая вишня 400 мл,,Таулы шие 400 мл,,Wild cherry 400 ml,
"Чай Имбирный 0,4",Имбирный чай 400 мл,,Имбирь шайы 400 мл,,Ginger tea 400 ml,
"Жасмин Тиг Юань 0,4",Жасмин Тиг Юань 400 мл,,Жасмин Тиг Юань 400 мл,,Jasmine Tig Yuan 400 ml,
"Эрл грей 0,4",Эрл грей 400 мл,,Эрл Грей 400 мл,,Earl Grey 400 ml,
"Чай Манго Клубника 0,4",Чай Манго-клубника 400 мл,,Манго-құлпынай шайы 400 мл,,Mango-strawberry tea 400 ml,
"Улун Молочный 0,4",Улун Молочный 400 мл,,Сүтті Улун 400 мл,,Milk oolong 400 ml,
"Ройбуш Ваниль - карамель 0,4",Ройбуш Ваниль-карамель 400 мл,,Ваниль-карамель ройбуш 400 мл,,Rooibos vanilla-caramel 400 ml,
"Чай Жасмин с персиком 0,4",Чай Жасмин с персиком 400 мл,,Жасмин-шие шайы 400 мл,,Jasmine-peach tea 400 ml,
"Чай виноград-киви 0,4",Чай Виноград-киви 400 мл,,Жүзім-киви шайы 400 мл,,Grape-kiwi tea 400 ml,
"Чай клюква-розмарин 0,4",Чай Клюква-розмарин 400 мл,,Бүлдірген-розмарин шайы 400 мл,,Cranberry-rosemary tea 400 ml,
"Шиповник с медом 0,4*",Шиповник с медом 400 мл,,Итмұрын-бал 400 мл,,Rosehip with honey 400 ml,
"Чай Ташкентский 0,4",Чай Ташкентский 400 мл,,Ташкент шайы 400 мл,,Tashkent tea 400 ml,
"Черный Ассам 0,4",Черный Ассам 400 мл,,Қара Ассам 400 мл,,Black Assam 400 ml,
"Чай малина-чабрец 0,4",Чай Малина-чабрец 400 мл,,Таңқурай-таңқурай шайы 400 мл,,Raspberry-thyme tea 400 ml,
"Горные травы 0,4",Горные травы 400 мл,,Таулы шөптер 400 мл,,Mountain herbs 400 ml,
"Зеленая Сенча 0,4",Зеленая Сенча 400 мл,,Жасыл Сенча 400 мл,,Green sencha 400 ml,
Макарошки в сливочном соусе,Макарошки в сливочном соусе,,Кремді тұздықтағы макарон,,Macaroni in creamy sauce,
Сырные палочки,Сырные палочки,,Сыр таяқшалары,,Cheese sticks,
Куриные нагетсы,Куриные нагетсы,,Тауық наггетстары,,Chicken nuggets,
ФРЕШ Грейпфрут,Фреш Грейпфрут,,Грейпфрут фреш,,Fresh grapefruit,
ФРЕШ Морковь,Фреш Морковь,,Сәбіз фреш,,Fresh carrot,
ФРЕШ Яблоко,Фреш Яблоко,,Алма фреш,,Fresh apple,
ФРЕШ MIX,Фреш MIX,,Фреш MIX,,Fresh mix,
Яблоко-Сельдерей,Яблоко-сельдерей,,Алма-балдыркөк,,Apple-celery,
ФРЕШ Апельсин,Фреш Апельсин,,Апельсин фреш,,Fresh orange,
Эспрессо тоник,Эспрессо тоник,,Эспрессо тоник,,Espresso tonic,
Соленый карамельный фраппе,Соленый карамельный фраппе,,Тұзды карамельді фраппе,,Salted caramel frappe,
Фрапучино,Фрапучино,,Фрапучино,,Frappuccino,
Фрапучино &MILK,Фрапучино &MILK,,Фрапучино &MILK,,Frappuccino & milk,
Айс Латте,Айс латте,,Айс латте,,Iced latte,
Эспрессо тоник с лаймом,Эспрессо тоник с лаймом,,Лайм қосылған эспрессо тоник,,Espresso tonic with lime,
Оранж Кофе,Оранж кофе,,Оранж кофе,,Orange coffee,
Айс Американо,Айс Американо,,Айс Американо,,Iced Americano,
Холодный персиковый латте,Холодный персиковый латте,,Салқын шабдалы латтесі,,Cold peach latte,
Холодный кофе с кокосом и Манго,Холодный кофе с кокосом и манго,,Кокос пен манго қосылған суық кофе,,Cold coffee with coconut and mango,
