needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Крылышки барбекю,Крылышки барбекю,Жареные крылышки под соусом барбекю с кунжутными семечками,Барбекю қанаттары,Тұздықта барбекю соусымен және күнжіт тұқымымен қуырылған қанаттар,Barbecue wings,Fried chicken wings with barbecue sauce and sesame seeds
Креветки Динамит,Креветки Динамит,Острые креветки в кляре,Динамит креветкалары,Дәмді қабықтағы ащы креветкалар,Dynamite shrimp,Spicy battered shrimp
Budweiser Б/А 330 мл,Budweiser Б/А 330 мл,,Budweiser Б/А 330 мл,,Budweiser Non-Alcoholic 330 ml,
"Сидр (яблочный, грушевый)","Сидр (яблочный, грушевый)",,"Сидр (алмалы, алмұртты)",,"Cider (Apple, Pear)",
Heineken 330 мл,Heineken 330 мл,,Heineken 330 мл,,Heineken 330 ml,
Corona Extra ,Corona Extra ,,Corona Extra,,Corona Extra,
Budweiser 330 мл,Budweiser 330 мл,,Budweiser 330 мл,,Budweiser 330 ml,
Пиво Tiger 330 мл,Пиво Tiger 330 мл,,Tiger сырасы 330 мл,,Tiger Beer 330 ml,
Картофельные дольки,Картофельные дольки,,Картоп тілімдері,,Potato Wedges,
Шампиньоны жареные с луком,Шампиньоны жареные с луком,,Қуырылған саңырауқұлақтар мен пияз,,Fried Mushrooms with Onions,
Гречка,Гречка,"Ароматная гречка, приготовленная на сливочном масле",Гречка,Маймен пісірілген хош иісті гречка,Buckwheat,Aromatic buckwheat cooked in butter
Картофельное пюре,Картофельное пюре,"Классическое картофельное пюре, приготовленное с добавлением сливок",Картоп пюресі,,Mashed Potatoes,
Овощи на гриле,Овощи на гриле,"Свежие овощи, приготовленные на гриле под чесночным маслом",Грильде пісірілген көкөністер,Сарымсақ майымен дайындалған грильдегі жаңа піскен көкөністер.,Grilled vegetables,Fresh vegetables grilled with garlic butter.
Рис на пару,Рис на пару,"Рис, приготовленный на пару",Бумен пісірілген күріш,Бумен пісірілген күріш,Steamed rice,Steamed rice
Фри,Фри,Картофель фри в специях Санта-Мария,Фри,Санта-Мария дәмдеуіштеріндегі картоп фри,Fries,French fries with Santa Maria spices
Coca-cola / Fanta / Sprite / Zero 250 мл,Coca-cola / Fanta / Sprite / Zero 250 мл,,Coca-Cola / Fanta / Sprite / Zero 250 мл,,Coca-Cola / Fanta / Sprite / Zero 250 ml,
Тассай Emerald 750 мл,Тассай Emerald 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Emerald 750 мл,"Эксклюзивті дизайндағы табиғи су, Тянь-Шанның етегіндегі табиғи су қасиеттерімен.",Tassay Emerald 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tian Shan.
Лимонад Грушевый твист 900 мл,Лимонад Грушевый твист 900 мл,,Алмұрт твист лимонады 900 мл,,Pear Twist Lemonade 900 ml,
Айс ти классический 400 мл,Айс ти классический 400 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық айс ти 400 мл,"Классикалық салқын шай, бай дәмі мен жеңіл салқындығы бар.",Classic iced tea 400 ml,Classic cold tea with a rich taste and a light chill.
Тассай Excellent 750 мл,Тассай Excellent 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Excellent 750 мл,"Эксклюзивті дизайндағы табиғи су, Тянь-Шанның етегіндегі табиғи су қасиеттерімен.",Tassay Excellent 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tian Shan.
Тассай без газа 250 мл,Тассай без газа 250 мл,Натуральная питьевая вода для утоления жажды.,Газсыз Тассай 250 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay still 250 ml,Natural drinking water to quench your thirst.
Лимонад Зеленый остров 400 мл,Лимонад Зеленый остров 400 мл,,Жасыл арал лимонады 400 мл,,Green Island Lemonade 400 ml,
Тропический смузи,Тропический смузи,"Яркое сочетание экзотических фруктов, которые дарят вкус лета и солнечного настроения в каждом глотке.",Тропикалық смузи,Жаздың дәмін және әрбір жұтымда күн сәулесінің көңіл-күйін беретін экзотикалық жемістердің жарқын үйлесімі.,Tropical smoothie,A bright combination of exotic fruits that bring the taste of summer and a sunny mood in every sip.
Милкшейк Персик Клубника,Милкшейк Персик Клубника,"Сочная комбинация персика и клубники, которая дарит нежный и фруктовый вкус в каждом глотке, создавая идеальный кремовый напиток для настоящих любителей сладких угощений.",Персик-Клубника милкшейкі,"Шабдалы мен құлпынайдың шырынды үйлесімі, әр жұтымда нәзік әрі жемісті дәм береді, тәтті тағамдарды жақсы көретіндер үшін мінсіз кремді сусын жасайды.",Peach Strawberry milkshake,"A juicy combination of peach and strawberry that gives a tender and fruity taste in every sip, creating the perfect creamy drink for those who love sweet treats."
Сок Pago 200 мл,Сок Pago 200 мл,Натуральный сок премиального качества,Pago шырыны 200 мл,Премиум сапалы табиғи шырын,Pago juice 200 ml,Premium quality natural juice
Айс-ти Вишня-персик 400 мл,Айс-ти Вишня-персик 400 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Айс-ти Вишня-Персик 400 мл,Шие мен шабдалының жидек- жеміс ноталарымен сергітетін салқын шай.,Iced tea Cherry-Peach 400 ml,Refreshing cold tea with berry-fruity notes of ripe cherries and juicy peaches.
Лимонад Базиликовый сад 400 мл,Лимонад Базиликовый сад 400 мл,,Базилик бағы лимонады 400 мл,,Basil Garden Lemonade 400 ml,
Лимонад Летняя ягода 400 мл,Лимонад Летняя ягода 400 мл,,Жазғы жидек лимонады 400 мл,,Summer Berry Lemonade 400 ml,
Тропический рай 900 мл,Тропический рай 900 мл,,Тропикалық жұмақ 900 мл,,Tropical Paradise 900 ml,
