needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Паста фетучинни Альфредо с цыпленком и шампиньонами,Паста Фетучини,Фетучини с обжаренной куриной грудкой и шампиньонами под тертым Пармезаном,Фетучини пастасы,"Қуырылған тауық еті мен саңырауқұлақтары бар фетучини, үгітілген пармезанмен толықтырылған",Fettuccine Pasta,"Fettuccine with sautéed chicken breast and mushrooms, topped with grated Parmesan"
Яблочный штрудель в карамельном соусе,Яблочный штрудель в карамельном соусе,,Яблочный штрудель карамельді соусты,,Apple Strudel in Caramel Sauce,
Яблочный фреш,Яблочный фреш,Сладкий и ароматный свежевыжатый сок из спелых яблок.,Алма фреш,Піскен алмалардан дайындалған тәтті әрі хош иісті жаңадан сығылған шырын.,Apple Fresh Juice,Sweet and aromatic freshly squeezed juice from ripe apples.
Яблочный сок (200 мл),Яблочный сок (200 мл),,Яблочный сок (200 мл),,Apple Juice (200 ml),
Яблочный сок (1000 мл),Яблочный сок (1000 мл),,Яблочный сок (1000 мл),,Apple Juice (1000 ml),
Эспрессо (200 мл),Эспрессо (200 мл),,Эспрессо (200 мл),,Espresso (200 ml),
Эспрессо (200 мл),Эспрессо (200 мл),,Эспрессо (200 мл),,Espresso (200 ml),
Шоколадное мороженое (1 шарик),Шоколадное мороженое (1 шарик),,Шоколадты балмұздақ (1 шарик),,Chocolate Ice Cream (1 scoop),
Шампиньоны жареные с луком,Шампиньоны жареные с луком,,Қуырылған саңырауқұлақтар мен пияз,,Fried Mushrooms with Onions,
Шакшука из спелых томатов,Шакшука из спелых томатов,,Шакшука піскен қызанақтан,,Shakshuka with Ripe Tomatoes,
Чизкейк с горячим шоколадом,Чизкейк с горячим шоколадом,"Чизкейк Сан Себастьян с тары, политый горячим шоколадом",Ыстық шоколадпен құйылған чизкейк,"Тары қосылған Сан Себастьян чизкейкі, ыстық шоколадпен құйылған.",Cheesecake with Hot Chocolate,"San Sebastian cheesecake with millet, topped with hot chocolate."
"Чай Ягодный сад 0,900",Чай Ягодный сад 900 мл,,Жемісті бақша шайы 900 мл,,Berry Garden Tea 900 ml,
"Чай Ягодный сад 0,400",Чай Ягодный сад 400 мл,,Жемісті бақша шайы 400 мл,,Berry Garden Tea 400 ml,
"Чай Цитрусовый рассвет 0,900",Чай Цитрусовый рассвет 900 мл,,Цитрустық таңғы шай 900 мл,,Citrus Sunrise Tea 900 ml,
"Чай Цитрусовый рассвет 0,400",Чай Цитрусовый рассвет 400 мл,,Цитрустық таңғы шай 400 мл,,Citrus Sunrise Tea 400 ml,
"Чай Ташкентский 0,900",Чай Ташкентский 900 мл,,Ташкент шайы 900 мл,,Tashkent Tea 900 ml,
"Чай Ташкентский 0,400",Чай Ташкентский 400 мл,,Ташкент шайы 400 мл,,Tashkent Tea 400 ml,
"Чай Пряная вишня 0,900",Чай Пряная вишня 900 мл,,Дәмді шие шайы 900 мл,,Spiced Cherry Tea 900 ml,
"Чай Пряная вишня 0,400",Чай Пряная вишня 400 мл,,Дәмді шие шайы 400 мл,,Spiced Cherry Tea 400 ml,
"Чай Осенняя пряность 0,900",Чай Осенняя пряность 900 мл,,Күзгі дәмдеуіш шайы 900 мл,,Autumn Spice Tea 900 ml,
"Чай Осенняя пряность 0,400",Чай Осенняя пряность 400 мл,,Күзгі дәмдеуіш шайы 400 мл,,Autumn Spice Tea 400 ml,
"Чай Облепиха-Груша 0,9",Чай Облепиха-Груша 900 мл,,Облепиха-алма шайы 900 мл,,Sea Buckthorn-Pear Tea 900 ml,
"Чай Облепиха-Груша 0,4",Чай Облепиха-Груша 400 мл,,Облепиха-алма шайы 400 мл,,Sea Buckthorn-Pear Tea 400 ml,
"Чай Молочный улун 0,900",Чай Молочный улун 900 мл,,Сүтті улун шайы 900 мл,,Milk Oolong Tea 900 ml,
"Чай Молочный улун 0,400",Чай Молочный улун 400 мл,,Сүтті улун шайы 400 мл,,Milk Oolong Tea 400 ml,
"Чай Марокканский 0,900",Чай Марокканский 900 мл,,Мароккалық шай 900 мл,,Moroccan Tea 900 ml,
"Чай Марокканский 0,400",Чай Марокканский 400 мл,,Мароккалық шай 400 мл,,Moroccan Tea 400 ml,
"Чай листовой Эрл грей с бергамотом 0,900",Чай листовой Эрл грей с бергамотом 900 мл,,Эрл Грей шайы 900 мл,,Loose Leaf Earl Grey Tea with Bergamot 900 ml,
"Чай листовой Эрл грей с бергамотом 0,400",Чай листовой Эрл грей с бергамотом 400 мл,,Эрл Грей шайы 400 мл,,Loose Leaf Earl Grey Tea with Bergamot 400 ml,
"Чай листовой черный Ассам 0,900",Чай листовой черный Ассам 900 мл,,Ассам шайы 900 мл,,Loose Leaf Black Assam Tea 900 ml,
"Чай листовой черный Ассам 0,400",Чай листовой черный Ассам 400 мл,,Ассам шайы 400 мл,,Loose Leaf Black Assam Tea 400 ml,
"Чай листовой Сенча сенпай 0,900",Чай листовой Сенча сенпай 900 мл,,Сенча шайы 900 мл,,Loose Leaf Sencha Senpai Tea 900 ml,
"Чай листовой Сенча сенпай 0,400",Чай листовой Сенча сенпай 400 мл,,Сенча шайы 400 мл,,Loose Leaf Sencha Senpai Tea 400 ml,
"Чай листовой Ройбуш ваниль-карамель 0,900",Чай листовой Ройбуш ваниль-карамель 900 мл,,Ройбуш шайы 900 мл,,Loose Leaf Rooibos Tea with Vanilla-Caramel 900 ml,
"Чай листовой Ройбуш ваниль-карамель 0,400",Чай листовой Ройбуш ваниль-карамель 400 мл,,Ройбуш шайы 400 мл,,Loose Leaf Rooibos Tea with Vanilla-Caramel 400 ml,
"Чай Имбирный 0,900",Чай Имбирный 900 мл,,Имбирь шайы 900 мл,,Ginger Tea 900 ml,
"Чай Имбирный 0,400",Чай Имбирный 400 мл,,Имбирь шайы 400 мл,,Ginger Tea 400 ml,
"Чай Жасмин 0,900",Чай Жасмин 900 мл,,Жасмин шайы 900 мл,,Jasmine Tea 900 ml,
"Чай Жасмин 0,400",Чай Жасмин 400 мл,,Жасмин шайы 400 мл,,Jasmine Tea 400 ml,
"Чай Дикая вишня 0,900",Чай Дикая вишня 900 мл,,Жабайы шие шайы 900 мл,,Wild Cherry Tea 900 ml,
"Чай Дикая вишня 0,400",Чай Дикая вишня 400 мл,,Жабайы шие шайы 400 мл,,Wild Cherry Tea 400 ml,
"Чай Горные травы 0,900",Чай Горные травы 900 мл,,Таулы шөп шайы 900 мл,,Mountain Herbs Tea 900 ml,
"Чай Горные травы 0,400",Чай Горные травы 400 мл,,Таулы шөп шайы 400 мл,,Mountain Herbs Tea 400 ml,
"Чай Барбарисовый с бергамотом и лимоном 0,900",Чай Барбарисовый с бергамотом и лимоном 900 мл,,Барбарис шайы бергамот және лимонмен 900 мл,,Barberry Tea with Bergamot and Lemon 900 ml,
"Чай Барбарисовый с бергамотом и лимоном 0,400",Чай Барбарисовый с бергамотом и лимоном 400 мл,,Барбарис шайы бергамот және лимонмен 400 мл,,Barberry Tea with Bergamot and Lemon 400 ml,
Хумус 90 гр*,Хумус 90 гр,,Хумус 90 гр,,Hummus 90 g,
Хлеб чиабата 120 гр*,Хлеб Чиабатта 120 гр,,Чиабатта наны 120 гр,,Ciabatta Bread 120 g,
Хлеб тартин 80 гр*,Хлеб тартин 80 гр,,Тартин наны 80 гр,,Tartine Bread 80 g,
Фри,Фри,Картофель фри в специях Санта-Мария,Фри,Санта-Мария дәмдеуіштері қосылған картоп фри.,Fries,French fries with Santa Maria spices.
Фисташковое мороженое (1 шарик),Фисташковое мороженое (1 шарик),,Фисташкалы балмұздақ (1 шар),,Pistachio Ice Cream (1 scoop),
"Филе миньона, картофель",Филе миньон,"Японский суп с пшеничной лапшой, куриным филе, грибами шиитаке и сыром тофу",Филе миньон,"Бидай кеспесі, тауық филесі, шиитаке саңырауқұлақтары және тофу ірімшігі қосылған жапон сорпасы.",Filet Mignon,"Japanese soup with wheat noodles, chicken fillet, shiitake mushrooms, and tofu cheese."
Удон с креветками,Азиатский удон с креветками,Лапша удон с тигровыми креветками и томлеными овощами под кисло-сладким соусом,Асшаян қосылған азиялық удон,Қышқыл-тәтті тұздықтағы жолбарыс асшаяндары мен бұқтырылған көкөністер қосылған удон кеспесі.,Asian Udon with Shrimp,Udon noodles with tiger prawns and stewed vegetables in a sweet and sour sauce.
Тропический смузи*,Тропический смузи,"Яркое сочетание экзотических фруктов, которые дарят вкус лета и солнечного настроения в каждом глотке.",Тропикалық смузи,Әр жұтымында жаздың дәмі мен күн шуағын сыйлайтын экзотикалық жемістердің жарқын үйлесімі.,Tropical Smoothie,A bright combination of exotic fruits that brings the taste of summer and a sunny mood in every sip.
"Тропический рай 0,900",Тропический рай 900 мл,,Тропикалық жұмақ 900 мл,,Tropical Paradise 900 ml,
"Тропический рай 0,400",Тропический рай 400 мл,,Тропикалық жұмақ 400 мл,,Tropical Paradise 400 ml,
Торт медовик,Торт медовик,,Бал бисквиті,,Honey Cake (Medovik),
Том ям с морепродуктами,Том Ям с морепродуктами,Пикантный Том Ям с морепродуктами,Том Ям теңіз өнімдерімен,Теңіз өнімдері қосылған ащы Том Ям.,Tom Yum with Seafood,Spicy Tom Yum with seafood.
Творожная запеканка с черной смородиной м морожены...,Творожная запеканка с черной смородиной,,Қарақат қосылған ірімшік кәстрөлі,,Cottage Cheese Casserole with Black Currant,
"Тассай с газом 0,250 бут",Тассай с газом 250 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалған 250 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Sparkling Water 250 ml,Natural drinking water to quench your thirst.
"Тассай без газа 0,250 бут",Тассай без газа 250 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалмаған 250 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Still Water 250 ml,Natural drinking water to quench your thirst.
Тассай Excellent 0.75л,Тассай Excellent 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Excellent 750 мл,Тянь-Шань тауларының етегінен алынған табиғи қасиеттері бар және эксклюзивті дизайны бар табиғи су.,Tassay Excellent 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tien Shan Mountains.
Тассай Emerald 0.75л,Тассай Emerald 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Emerald 750 мл,Тянь-Шань тауларының етегінен алынған табиғи қасиеттері бар және эксклюзивті дизайны бар табиғи су.,Tassay Emerald 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tien Shan Mountains.
"Тассай 0,500 с газом",Тассай с газом 500 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалған 500 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Sparkling Water 500 ml,Natural drinking water to quench your thirst.
"Тассай 0,500 без газа",Тассай без газа 500 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалмаған 500 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Still Water 500 ml,Natural drinking water to quench your thirst.
"Сэт из 4х настоек 0,160",Сет из 4-х настоек 160 мл,,4 түрлі тұнбадан тұратын сэт 160 мл,,Set of 4 Infusions 160 ml,
Сэндвич с цыпленком,Сэндвич с цыпленком,,Тауық еті бар сэндвич,,Chicken Sandwich,
