needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Крылышки барбекю,Крылышки барбекю,Жареные крылышки под соусом барбекю с кунжутными семечками,Барбекю қанаттары,Барбекю тұздығындағы қуырылған тауық қанаттары күнжіт дәндерімен.,BBQ Chicken Wings,Fried chicken wings in barbecue sauce with sesame seeds.
Креветки Динамит,Креветки Динамит,Острые креветки в кляре,Динамит асшаяндары,Ащы клярдағы асшаяндар.,Dynamite Shrimp,Spicy battered shrimp.
Гречка,Гречка,"Ароматная гречка, приготовленная на сливочном масле",Бұршақ,Хош иісті қарақұмық сары майда дайындалған.,Buckwheat,Fragrant buckwheat cooked in butter.
Рис на пару,Рис на пару,"Рис, приготовленный на пару",Буға піскен күріш,Буға піскен күріш,Steamed rice,Steamed rice
Фри,Фри,Картофель фри в специях Санта-Мария,Картоп фри,,Fries,
Тассай Emerald 750 мл,Тассай Emerald 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Emerald 750 мл,Тянь-Шань тауларының етегінен алынған табиғи қасиеттері бар және эксклюзивті дизайны бар табиғи су.,Tassay Emerald 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tien Shan Mountains.
Айс ти классический 400 мл,Айс ти классический 400 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық мұзды шай 400 мл,Қанық дәмі мен жеңіл салқындығы бар классикалық суық шай.,Classic Iced Tea 400 ml,Classic iced tea with a rich flavor and a light refreshing coolness.
Тассай Excellent 750 мл,Тассай Excellent 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Excellent 750 мл,Тянь-Шань тауларының етегінен алынған табиғи қасиеттері бар және эксклюзивті дизайны бар табиғи су.,Tassay Excellent 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tien Shan Mountains.
Тассай без газа 250 мл,Тассай без газа 250 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалмаған 250 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Still Water 250 ml,Natural drinking water to quench your thirst.
Тропический смузи,Тропический смузи,"Яркое сочетание экзотических фруктов, которые дарят вкус лета и солнечного настроения в каждом глотке.",Тропикалық смузи,Әр жұтымында жаздың дәмі мен күн шуағын сыйлайтын экзотикалық жемістердің жарқын үйлесімі.,Tropical Smoothie,A bright combination of exotic fruits that brings the taste of summer and a sunny mood in every sip.
Милкшейк Персик Клубника,Милкшейк Персик Клубника,"Сочная комбинация персика и клубники, которая дарит нежный и фруктовый вкус в каждом глотке, создавая идеальный кремовый напиток для настоящих любителей сладких угощений.",Шабдалы-желбегей милкшейкі,"Шабдалы мен құлпынайдың шырынды үйлесімі әр жұтымда нәзік әрі жемісті дәм сыйлайды, нағыз тәтті тағамды ұнатушыларға арналған мінсіз кілегейлі сусын жасайды.",Peach & Strawberry Milkshake,"A juicy combination of peach and strawberry that delivers a delicate and fruity taste in every sip, creating the perfect creamy drink for true sweet treat lovers."
Сок Pago 200 мл,Сок Pago 200 мл,Натуральный сок премиального качества,Pago шырыны 200 мл,Премиум сапалы табиғи шырын.,Pago Juice 200 ml,Premium-quality natural juice.
Айс-ти Вишня-персик 400 мл,Айс-ти Вишня-персик 400 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Шие-шаян мұзды шай 400 мл,Піскен шие мен шырынды шабдалының жидек-жеміс ноталары бар сергіткіш суық шай.,Iced Tea Cherry-Peach 400 ml,Refreshing iced tea with berry and fruity notes of ripe cherries and juicy peaches.
Милкшейк Груша Карамель,Милкшейк Груша Карамель,"Нежное сочетание сладкой груши и ароматной карамели, создающее кремовый и насыщенный напиток с уникальным фруктово-сладким вкусом.",Алмұрт-карамель милкшейкі,Тәтті алмұрт пен хош иісті карамельдің нәзік үйлесімі ерекше жемісті-тәтті дәмі бар қою әрі кілегейлі сусын жасайды.,Pear & Caramel Milkshake,"A gentle combination of sweet pear and aromatic caramel, creating a creamy and rich drink with a unique fruity-sweet taste."
Грейпфрутовый фреш,Грейпфрутовый фреш,Освежающий цитрусовый фреш с приятной кислинкой и лёгкой горчинкой.,Грейпфрут фреші,Жеңіл қышқылдығы мен жұмсақ ащылығы бар сергітетін цитрусты фреш.,Grapefruit Fresh Juice,A refreshing citrus fresh juice with a pleasant acidity and light bitterness.
Набеглави 500 мл,Набеглави 500 мл,Минеральная вода из природных источников Грузии.,Набеглави 500 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi Mineral Water 500 ml,Mineral water from the natural springs of Georgia.
Айс ти классический 900 мл,Айс ти классический 900 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық мұзды шай 900 мл,Қанық дәмі мен жеңіл салқындығы бар классикалық суық шай.,Classic Iced Tea 900 ml,Classic iced tea with a rich flavor and a light refreshing coolness.
Тассай с газом 500 мл,Тассай с газом 500 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалған 500 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Sparkling Water 500 ml,Natural drinking water to quench your thirst.
Schweppes 450 мл,Schweppes 450 мл,Классический газированный напиток с освежающим вкусом.,Schweppes 450 мл,Сергітетін дәмі бар классикалық газдалған сусын.,Schweppes 450 ml,Classic carbonated drink with a refreshing taste.
Тассай без газа 500 мл,Тассай без газа 500 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалмаған 500 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Still Water 500 ml,Natural drinking water to quench your thirst.
Айс-ти Вишня-персик 900 мл,Айс-ти Вишня-персик 900 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Шие-шаян мұзды шай 900 мл,Піскен шие мен шырынды шабдалының жидек-жеміс ноталары бар сергіткіш суық шай.,Iced Tea Cherry-Peach 900 ml,Refreshing iced tea with berry and fruity notes of ripe cherries and juicy peaches.
Red Bull 250 мл,Red Bull 250 мл,Энергетический напиток для бодрости и активного дня.,Red Bull 250 мл,Белсенділік пен қуат беретін энергетикалық сусын.,Red Bull 250 ml,Energy drink for alertness and an active day.
Тассай с газом 250 мл,Тассай с газом 250 мл,Натуральная питьевая вода для утоления жажды.,Тассай газдалған 250 мл,Шөлді қандыруға арналған табиғи ауыз су.,Tassay Sparkling Water 250 ml,Natural drinking water to quench your thirst.
Зеленый смузи с киви и яблоком,Зеленый смузи с киви и яблоком,"Освежающий напиток с ярким вкусом киви и сочного яблока, который подарит заряд бодрости и свежести в каждый глоток.",Киви мен алма қосылған жасыл смузи,"Жарқын киви мен шырынды алманың дәмі бар сергіткіш сусын, әр жұтымында қуат пен балғындық сыйлайды.",Green Smoothie with Kiwi and Apple,"A refreshing drink with a bright taste of kiwi and juicy apple, giving a boost of energy and freshness in every sip."
Набеглави 200 мл,Набеглави 200 мл,Минеральная вода из природных источников Грузии.,Набеглави 200 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi Mineral Water 200 ml,Mineral water from the natural springs of Georgia.
Чечевичный суп,Чечевичный суп,Чечевичный суп с отварными овощами,Көк бұршақ сорпасы,Қайнатылған көкөністер қосылған жасымық сорпасы.,Lentil Soup,Lentil soup with boiled vegetables.
Том Ям с морепродуктами,Том Ям с морепродуктами,Пикантный Том Ям с морепродуктами,Том Ям теңіз өнімдерімен,Теңіз өнімдері қосылған ащы Том Ям.,Tom Yum with Seafood,Spicy Tom Yum with seafood.
Куриный суп с лапшой,Куриный суп с лапшой,Нежный куриный суп с домашней лапшой,Кеспе қосылған тауық сорпасы,Үй кеспесі қосылған жұмсақ тауық сорпасы.,Chicken Noodle Soup,Tender chicken soup with homemade noodles.
Пицца Маргарита,Пицца Маргарита,Маргарита с моцареллой и свежим базиликом под тертым пармезаном,Маргарита пицца,"Моцарелла, жаңа насыбайгүл және үгілген пармезан қосылған Маргарита.",Margherita pizza,"Margherita with Mozzarella, fresh basil, and grated Parmesan."
Пицца Пепперони,Пицца Пепперони,"Пицца с пикантными колбасками пепперони, соусом из спелых томатов и тянущейся моцареллой.",Пепперони пиццасы,"Пепперони колбасасы бар пицца, піскен томат соусымен және мол моцарелла",Pepperoni pizza,"Pizza with spicy pepperoni sausages, ripe tomato sauce, and melted mozzarella"
Пицца Четыре сыра,Пицца Четыре сыра,Нежнейшая пицца с 4 разными видами сыра,Төрт ірімшікті пицца,Төрт түрлі ірімшіктен дайындалған ең нәзік пицца,Four Cheese Pizza,Delicate pizza with four different types of cheese
Пицца цыпленок с грибами,Пицца цыпленок с грибами,Популярная пицца с копченой куриной грудкой и шампиньонами под тертым Пармезаном,Саңырауқұлақ қосылған балапан пиццасы,"Қышқылтым Пармезан ірімшігі себілген, ысталған тауықтың төс еті мен шампиньон саңырауқұлақтары қосылған танымал пицца.",Chicken and Mushroom Pizza,Popular pizza with smoked chicken breast and champignon mushrooms topped with grated Parmesan.
Чай листовой черный Ассам 900 мл,Чай листовой черный Ассам 900 мл,"Чёрный чай с глубоким, насыщенным вкусом и лёгкой терпкостью.",Ассам шайы 900 мл,"Терең, қанық дәмі мен жеңіл кермек дәмі бар қара шай.",Loose Leaf Black Assam Tea 900 ml,"Black tea with a deep, rich flavor and a subtle astringency."
Raspberry Ice Latte,Raspberry Ice Latte,"Холодный кофе с ярким вкусом малины и кремовой текстурой, создающий идеальное сочетание свежести и кофейной насыщенности.",Малина мұзды латте,"Ашық таңқурай дәмі мен кремді құрылымы бар суық кофе, балғындық пен кофенің қанықтығын тамаша үйлестіреді.",Raspberry Ice Latte,"Cold coffee with a bright raspberry flavor and a creamy texture, creating the perfect combination of freshness and coffee richness."
Чай Ягодный сад 400 мл,Чай Ягодный сад 400 мл,,Жемісті бақша шайы 400 мл,,Berry Garden Tea 400 ml,
Чай листовой Ройбуш ваниль-карамель 400 мл,Чай листовой Ройбуш ваниль-карамель 400 мл,Благородный ройбуш с мягкими сливочно-карамельными оттенками.,Ройбуш шайы 400 мл,Жұмсақ кілегейлі-карамельді реңктері бар асыл ройбуш.,Loose Leaf Rooibos Tea with Vanilla-Caramel 400 ml,Noble rooibos with soft creamy-caramel notes.
Чай Ташкентский 900 мл,Чай Ташкентский 900 мл,"Ароматный чай с нотами зелёного чая, цитрусов и восточных специй.",Ташкент шайы 900 мл,"Жасыл шай, цитрус және шығыс дәмдеуіштерінің ноталары бар хош иісті шай.",Tashkent Tea 900 ml,
Американо 150 мл,Американо 150 мл,Классический чёрный кофе с насыщенным ароматом и сбалансированной горчинкой.,Американо 150 мл,,Americano 150 ml,
Mango Matcha latte,Mango Matcha latte,"Холодный кофе с нотками нежной матчи и экзотического манго, создающий идеальное сочетание кофейной бодрости и тропической свежести.",Mango Matcha латте,"Кофенің сергектігі мен тропикалық балғындықтың тамаша үйлесімін жасайтын, нәзік матча мен экзотикалық манго ноталары бар суық кофе.",Mango Matcha Latte,"Cold coffee with notes of delicate matcha and exotic mango, creating the ideal combination of coffee energy and tropical freshness."
Капучино 300 мл,Капучино 300 мл,Ароматный кофе с бархатистой молочной пеной и гармоничным вкусом.,Капучино 300 мл,,Cappuccino 300 ml,
Чай листовой Эрл грей с бергамотом 400 мл,Чай листовой Эрл грей с бергамотом 400 мл,Изысканный чёрный чай с благородным ароматом бергамота и цитрусовой свежестью.,Эрл Грей шайы 400 мл,,Loose Leaf Earl Grey Tea with Bergamot 400 ml,
Чай Молочный Улун 900 мл,Чай Молочный Улун 900 мл,Мягкий и сливочный улун с бархатистым молочным послевкусием.,Чай Молочный Улун 900 мл,,Milk Oolong tea 900 ml,
Капучино 200 мл,Капучино 200 мл,Ароматный кофе с бархатистой молочной пеной и гармоничным вкусом.,Капучино 200 мл,,Cappuccino 200 ml,
Чай Жасмин 400 мл,Чай Жасмин Тинг Юань 400 мл,Нежный зелёный чай с утончённым ароматом жасмина и лёгкой свежестью.,Жасмин шайы 400 мл,,Jasmine Tea 400 ml,
Choco strawberry,Choco strawberry,"Холодный кофе с насыщенным вкусом шоколада и сладкой клубники, создающий идеальное сочетание кремовой мягкости и яркой кофейной бодрости.",Choco strawberry,"Қанық шоколад пен тәтті құлпынай дәмі бар суық кофе, кремді жұмсақтық пен жарқын кофелік сергектіктің мінсіз үйлесімін жасайды.",Choco Strawberry,"Cold coffee with a rich chocolate and sweet strawberry flavor, creating the perfect combination of creamy smoothness and vibrant coffee energy."
Чай листовой Сенча сенпай 900 мл,Чай листовой Сенча сенпай 900 мл,Классический зелёный чай с насыщенным вкусом и тонкими травяными нотами.,Сенча шайы 900 мл,"Классикалық жасыл шай, бай дәмі мен нәзік шөпті ноталарымен.",Loose Leaf Sencha Senpai Tea 900 ml,Classic green tea with a rich flavor and subtle herbal notes.
Чай Горные травы 900 мл,Чай Горные травы 900 мл,Ароматный травяной чай с насыщенными нотами горных растений и цветов.,Чай Горные травы 900 мл,"Ароматты шөп шайы, тау өсімдіктері мен гүлдерінің бай ноталарымен.",Mountain herbs tea 900 ml,Aromatic herbal tea with rich notes of mountain plants and flowers.
Чай Марокканский 900 мл,Чай Марокканский 900 мл,"Освежающий зелёный чай с мятой, придающей напитку лёгкость и прохладу.",Мароккалық шай 900 мл,"Жасыл шай, ментамен жаңартылған, сусынға жеңілдігі мен салқындығын береді.",Moroccan Tea 900 ml,"Refreshing green tea with mint, giving the drink a lightness and coolness."
Айс Американо,Айс Американо,"Освежающий чёрный кофе с мягкой горчинкой и лёгкой кислинкой, подаваемый со льдом.",Айс Американо,"Жаңартылған қара кофе, жұмсақ ащылығымен және аздаған қышқылдығымен, мұзбен беріледі.",Iced Americano,"Refreshing black coffee with a soft bitterness and slight acidity, served with ice."
Чай Марокканский 400 мл,Чай Марокканский 400 мл,"Освежающий зелёный чай с мятой, придающей напитку лёгкость и прохладу.",Мароккалық шай 400 мл,"Жасыл шай, ментамен жаңартылған, сусынға жеңілдігі мен салқындығын береді.",Moroccan Tea 400 ml,"Refreshing green tea with mint, giving the drink a lightness and coolness."
Чай Ягодный сад 900 мл,Чай Ягодный сад 900 мл,,Жемісті бақша шайы 900 мл,,Berry Garden Tea 900 ml,
Mint cocoa,Mint cocoa,"Холодный кофе с освежающими нотками мяты и насыщенным вкусом какао, создающий идеальный баланс между бодрящим кофе и приятной сладостью.",Жалбыз какао,"Сергітетін кофе мен жағымды тәттіліктің тамаша балансын жасайтын, жалбыздың сергіткіш ноталары мен қанық какао дәмі бар суық кофе.",Mint Cocoa,"Cold coffee with refreshing hints of mint and a rich cocoa flavor, creating the perfect balance between invigorating coffee and pleasant sweetness."
Чай Горные травы 400 мл,Чай Горные травы 400 мл,Ароматный травяной чай с насыщенными нотами горных растений и цветов.,Чай Горные травы 400 мл,,Mountain herbs tea 400 ml,
Чай Ташкентский 400 мл,Чай Ташкентский 400 мл,"Ароматный чай с нотами зелёного чая, цитрусов и восточных специй.",Ташкент чәй 400 мл,"Жасыл шай, цитрус және шығыс дәмдеуіштерінің ноталары бар хош иісті шай.",Tashkent Tea 400 ml,
Чай листовой Сенча сенпай 400 мл,Чай листовой Сенча сенпай 400 мл,Классический зелёный чай с насыщенным вкусом и тонкими травяными нотами.,Сенча шайы 400 мл,,Loose Leaf Sencha Senpai Tea 400 ml,
Чай листовой Эрл грей с бергамотом 900 мл,Чай листовой Эрл грей с бергамотом 900 мл,Изысканный чёрный чай с благородным ароматом бергамота и цитрусовой свежестью.,Эрл Грей шайы 900 мл,,Loose Leaf Earl Grey Tea with Bergamot 900 ml,
Чай Жасмин 900 мл,Чай Жасмин 900 мл,Нежный зелёный чай с утончённым ароматом жасмина и лёгкой свежестью.,Жасмин шайы 900 мл,,Jasmine Tea 900 ml,
