needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
№6 Яйцо 5 минут с крокетом из кабачков,Крокеты из кабачков,"Крокеты из цуккини с нежным яйцом, томатами и муссом из пармезана.",Қабақ крокеттері,"Цуккини крокеттері жұмсақ жұмыртқа, қызанақ және пармезан муссымен",Zucchini croquettes,"Zucchini croquettes with soft egg, tomatoes, and parmesan mousse"
№1 Cкрэмбл,Скрэмбл с салатом,"Воздушные яйца с авокадо, киви, свежими томатами и огурцом под оливковым маслом и зеленью.",Салатпен скрэмбл,"Авокадо, киви, жаңа қызанақ пен қияр қосылған жұмсақ жұмыртқалар, зәйтүн майы мен көк шөппен",Scramble with salad,"Fluffy eggs with avocado, kiwi, fresh tomatoes, and cucumber, topped with olive oil and herbs"
№5 Итальянский завтрак ,Итальянский завтрак,"Итальянский завтрак с фриттатой, овощами, ветчиной, свежей зеленью и тостом тартин.",Итальяндық таңғы ас,"Итальяндық таңғы ас: фриттата, көкөністер, ветчина, көк шөп және тартин тосты",Italian breakfast,"Italian breakfast with frittata, vegetables, ham, fresh greens, and tartine toast"
№2 Омлет с лососем ,Омлет с лососем ,"Нежный омлет с гравлаксом, фетой и томатами, украшенный зеленью и зеленым маслом.",Лосось қосылған омлет,"Гравлакс, фета ірімшігі және қызанақ қосылған жұмсақ омлет, көк шөп пен жасыл маймен безендірілген",Omelette with salmon,"Tender omelette with gravlax, feta, and tomatoes, garnished with herbs and green oil"
№4 Английский завтрак,Английский завтрак,"Классический английский завтрак с яйцами, говяжьими колбасками, грибами, фасолью, жареными томатами и хлебом тартин.",Ағылшын таңғы асы,"Классикалық ағылшын таңғы асы: жұмыртқа, сиыр шұжығы, саңырауқұлақтар, бұршақ, қуырылған қызанақ және тартин наны",English breakfast,"Classic English breakfast with eggs, beef sausages, mushrooms, beans, fried tomatoes, and tartine bread"
№7 Фирменный завтрак,Фирменный завтрак,"Фирменный завтрак с ветчиной, редисом, болгарским перцем, картофелем бэби, грибами и шпинатом, под пите с зеленью.",Фирмалық таңғы ас,"Фирмалық таңғы ас: ветчина, шалғам, болгар бұрышы, бэби картоп, саңырауқұлақтар мен шпинат, көк шөп қосылған пита нанымен",Signature breakfast,"Signature breakfast with ham, radish, bell pepper, baby potatoes, mushrooms, and spinach, served with pita and herbs"
№3 Бенедикт с лососем,Бенедикт,"Хрустящий тост с лососем, яйцом пашот и нежным голландским соусом, украшенный свежей зеленью",Бенедикт,"Қытырлақ тост: лосось, пашот жұмыртқа және жұмсақ голланд тұздығы, көк шөппен безендірілген",Benedict,"Crispy toast with salmon, poached egg, and delicate hollandaise sauce, garnished with fresh herbs"
Какао с маршмеллоу,Какао с маршмеллоу,,Маршмеллоу қосылған какао,,Cocoa with marshmallow,
Смузи МАЛИНА – АПЕЛЬСИН*,Малина-апельсин,,Таңқурай-апельсин,,Raspberry-orange,
Смузи КЛЮКВА–БРУСНИКА–АПЕЛЬСИН*,Клюква-брусника-апельсин,,Мүкжидек-бүлдірген-апельсин,,Cranberry-lingonberry-orange,
Смузи МАНГО – АНАНАС*,Манго-ананас,,Манго-ананас,,Mango-pineapple,
Лимонад ВИШНЯ-ЛАВАНДА-ЛАЙМ 900 гр,Вишня-лаванда-лайм,,Шие-лаванда-лайм,,Cherry-lavender-lime,
Лимонад БЕРГАМОТ-БЕЛЫЙ ПЕРСИК 900 гр,Бергамот - белый персик,,Бергамот - ақ шабдалы,,Bergamot - white peach,
Лимонад КЛЮКВА-ГРУША-ЛАЙМ 900 гр,Клюква-груша-лайм,,Мүкжидек-алмұрт-лайм,,Cranberry-pear-lime,
Лимонад АЙВА-БУЗИНА 900 гр,Айва-бузина,,Айва-бузина,,Quince-elderberry,
Лимонад КРАСНАЯ СМОРОДИНА - КЛУБНИКА 900 гр,Смородина - клубника,,Қарақат - құлпынай,,Blackcurrant - strawberry,
Цыпленок Миланезе ,Цыпленок Миланезе ,Панированная куриная грудка с моцареллой и томатами черри,Миланша дайындалған балапан еті,Моцарелла және шие қызанақ қосылған нан үгіндісіне қуырылған тауықтың төс еті,Chicken Milanese,Breaded chicken breast with mozzarella and cherry tomatoes
Утиная ножка конфи,Утиная ножка конфи,Утка с морковным кремом и соусом терияки,Конфи әдісімен дайындалған үйрек саны,Сәбіз кремі және терияки соусымен дайындалған үйрек еті,Duck leg confit,Duck with carrot cream and teriyaki sauce
Бургер из говядины с картофелем фри,Бургер из говядины с картофелем фри,"Классический бургер с говяжьей котлетой, подается с жареным картофелем",Қуырылған картоппен сиыр еті бургері,"Сиыр еті котлетімен классикалық бургер, қуырылған картоппен бірге беріледі",Beef burger with fries,"Classic burger with a beef patty, served with fried potatoes"
Шашлычок из говядины,Шашлычки из говядины,Сочные шашлычки с брокколи и соусом песто,Сиыр етінен кәуәптар,Брокколи және песто соусымен дайындалған шырынды кәуәптар,Beef kebabs,Juicy skewers with broccoli and pesto sauce
Креветки темпура с соусом айоли ,Креветки темпура,Хрустящие креветки с пряным соусом спайси-айоли и микрозеленью,Темпурада қуырылған асшаяндар,"Қытырлақ асшаяндар, ащы айоли соусымен және микрөскінмен",Tempura shrimp,Crispy shrimp with spicy aioli sauce and microgreens
Fish n chips с соусом тар-тар,"Фиш-н-чипс, картофельные лодочки",Хрустящий судак с картофельными лодочками и соусом тартар,"Фиш-н-чипс, картоп қайықшаларымен","Қытырлақ судак балығы, картоп «қайықшалары» және тартар соусымен","Fish and chips, potato wedges",Crispy pike-perch with potato wedges and tartar sauce
Котлета говяжья с грибным соусом ,Котлета говяжья с грибным соусом ,Сочная котлета с картофельным пюре и грибным соусом,Саңырауқұлақ соусымен сиыр етінен котлета,"Шырынды котлета, картоп пюресі және саңырауқұлақ соусымен",Beef patty with mushroom sauce,Juicy cutlet with mashed potatoes and mushroom sauce
Наурыз коже 1 порц,Наурыз коже 1 порц,,Наурыз көже 1 порция,,Nowruz soup 1 portion,
Бауырсак 1 шт,Бауырсак 1 шт,,Баурсақ 1 дана,,Baursak 1 piece,
тест холодный цех,тест холодный цех,,Салқын цех сынамасы,,Cold kitchen test,
тест горячий цех,тест горячий цех,,Ыстық цех сынамасы,,Hot kitchen test,
Пицца тест,Пицца тест,,Пицца сынамасы,,Pizza dough test,
