needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Фри с пармезаном,Фри с пармезаном,Хрустящий фри под сырным соусом с тертым пармезаном,Пармезан қосылған фри,Үгітілген пармезан мен ірімшік тұздығы қосылған қытырлақ фри,Fries with parmesan,Crispy fries topped with cheese sauce and grated Parmesan
Крылышки барбекю,Крылышки барбекю,Жареные крылышки под соусом барбекю с кунжутными семечками,Барбекю қанаттары,Тұздықта барбекю соусымен және күнжіт тұқымымен қуырылған қанаттар,Barbecue wings,Fried chicken wings with barbecue sauce and sesame seeds
Пивные байты,Пивные байты,"Крылья, луковые кольца, гарлики, сырные палочки. Сытный набор пивных байтов не оставит вас равнодушным",Пивалы байттар,"Қанаттар, пияз сақиналары, сарымсақ, ірімшік таяқшалары. Сәнді пивалық байттар жинағы сізді таң қалдырмай қоймайды",Beer bites,"Wings, onion rings, garlic, cheese sticks. A hearty set of beer bites that will leave you impressed"
Креветки Динамит,Креветки Динамит,Острые креветки в кляре,Динамит креветкалары,Дәмді қабықтағы ащы креветкалар,Dynamite shrimp,Spicy battered shrimp
Куриные слайсы в панировке с соусом дзадзики,Куриные слайсы в панировке с соусом дзадзики,,,,,
Сет мезе с питой из печи,Сет мезе с питой из печи,"Сет восточных закусок с питой из печи: бабагануш, хумус, гуакамоле, капоната с фетой",Пита наны бар мезе сеті,"Пештен піскен пита наны бар шығыс тағамдары сеті: баба гануш, хумус, гуакамоле, капоната фетамен",Meze set with pita from the oven,"Set of Eastern appetizers with pita from the oven: baba ganoush, hummus, guacamole, caponata with feta"
Брокколи по-итальянски,Брокколи по-итальянски,Брокколи с розмарином в оливковом масле с чесноком,Италиянша брокколи,Розмаринмен зәйтүн майында сарымсақпен пісірілген брокколи,Italian-style broccoli,Broccoli with rosemary in olive oil with garlic
Картофельные дольки,Картофельные дольки,,Картоп тілімдері,,Potato Wedges,
Шампиньоны жареные с луком,Шампиньоны жареные с луком,,Қуырылған саңырауқұлақтар мен пияз,,Fried Mushrooms with Onions,
Гречка,Гречка,"Ароматная гречка, приготовленная на сливочном масле",Гречка,Маймен пісірілген хош иісті гречка,Buckwheat,Aromatic buckwheat cooked in butter
Картофельное пюре,Картофельное пюре,"Классическое картофельное пюре, приготовленное с добавлением сливок",Картоп пюресі,,Mashed Potatoes,
Овощи на гриле,Овощи на гриле,"Свежие овощи, приготовленные на гриле под чесночным маслом",Грильде пісірілген көкөністер,Сарымсақ майымен дайындалған грильдегі жаңа піскен көкөністер.,Grilled vegetables,Fresh vegetables grilled with garlic butter.
Рис на пару,Рис на пару,"Рис, приготовленный на пару",Бумен пісірілген күріш,Бумен пісірілген күріш,Steamed rice,Steamed rice
Фри,Фри,Картофель фри в специях Санта-Мария,Фри,Санта-Мария дәмдеуіштеріндегі картоп фри,Fries,French fries with Santa Maria spices
Манго-маракуйя 1 л,Манго-маракуйя 1 л,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 1 л,"Тропикалық дәмнің жарылысы: тәтті манго мен экзотикалық маракуйяның тамаша үйлесімі, балғындық пен жеңіл қышқылдылықтың мінсіз үйлесімі.",Mango-passion fruit 1 l,Tropical flavor explosion: sweet mango and exotic passion fruit create the perfect balance of freshness and a slight tartness.
Малина-базилик-шиповник 1 л,Малина-базилик-шиповник 1 л,"Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Малина-базилик-шиповник 1 л,"Жұмсақ шөптердің ноталарымен жарқын жидек қоспасы: бай малина, жаңа базилик және шиповниктің жеңіл қышқылдығы.",Raspberry-basil-rosehip 1 l,"Bright berry mix with subtle herbal notes: rich raspberry, fresh basil, and light tang of rosehip."
Вишня-тибетская ромашка 1л,Вишня-тибетская ромашка 1л,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Вишня-тибет ромашкасы 1 л,"Тибет ромашкасының нәзік ноталарымен шырынды шие дәмі, тәттілік пен жеңіл ащылықтың гармониясын жасайды.",Cherry-Tibetan chamomile 1 l,"The deep taste of juicy cherries with a delicate note of Tibetan chamomile, creating a harmony of sweetness and light bitterness."
Клубника-улун 400 мл,Клубника-улун 400 мл,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Клубника-улун 400 мл,Құлпынайдың нәзік тәттілігі мен улун шайының жұмсақ дәмі – жеңіл және үйлесімді дәм.,Strawberry-oolong 400 ml,Tender sweetness of strawberries combined with the soft tea aftertaste of oolong – a light and harmonious flavor.
Клубника-улун 1 л,Клубника-улун 1 л,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Клубника-улун 1 л,Құлпынайдың нәзік тәттілігі мен улун шайының жұмсақ дәмі – жеңіл және үйлесімді дәм.,Strawberry-oolong 1 l,Tender sweetness of strawberries combined with the soft tea aftertaste of oolong – a light and harmonious flavor.
Имбирь цитрусы 1 л,Имбирь цитрусы 1 л,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Имбирь-цитрус 1 л,"Ащы имбирь, шырынды цитрустармен толықтырылған, сергітетін және жылыту дәмін береді, жеңіл ащылықпен.",Ginger-citrus 1 l,Spicy ginger complemented by juicy citrus creates an invigorating and warming taste with a slight spiciness.
Имбирь цитрусы 400 мл,Имбирь цитрусы 400 мл,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Имбирь-цитрус 400 мл,"Ащы имбирь, шырынды цитрустармен толықтырылған, сергітетін және жылыту дәмін береді, жеңіл ащылықпен.",Ginger-citrus 400 ml,Spicy ginger complemented by juicy citrus creates an invigorating and warming taste with a slight spiciness.
Манго-маракуйя 400 мл,Манго-маракуйя 400 мл,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 400 мл,"Тропикалық дәмнің жарылысы: тәтті манго мен экзотикалық маракуйяның тамаша үйлесімі, балғындық пен жеңіл қышқылдылықтың мінсіз үйлесімі.",Mango-passion fruit 400 ml,Tropical flavor explosion: sweet mango and exotic passion fruit create the perfect balance of freshness and a slight tartness.
Малина-базилик-шиповник 400 мл,Малина-базилик-шиповник 400 мл,"Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Малина-базилик-шиповник 400 мл,"Жұмсақ шөптердің ноталарымен жарқын жидек қоспасы: бай малина, жаңа базилик және шиповниктің жеңіл қышқылдығы.",Raspberry-basil-rosehip 400 ml,"Bright berry mix with subtle herbal notes: rich raspberry, fresh basil, and light tang of rosehip."
Вишня-тибетская ромашка 400 мл,Вишня-тибетская ромашка 400 мл,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Вишня-тибет ромашкасы 400 мл,"Тибет ромашкасының нәзік ноталарымен шырынды шие дәмі, тәттілік пен жеңіл ащылықтың гармониясын жасайды.",Cherry-Tibetan chamomile 400 ml,"The deep taste of juicy cherries with a delicate note of Tibetan chamomile, creating a harmony of sweetness and light bitterness."
Perrier Maison Peach Cherry 250 мл,Perrier Maison Peach Cherry 250 мл,Французская классика со вкусом спелого персика и сочной черешни – лёгкое игристое наслаждение с освежающей газировкой.,Perrier Maison Peach Cherry 250 мл,"Француздық классика, піскен шабдалы мен шырынды шие дәмі бар – жеңіл, газдалған әрі сергітетін рақаттану.",Perrier Maison Peach Cherry 250 ml,French classic with the taste of ripe peach and juicy cherries – a light sparkling delight with refreshing carbonation.
Coca-cola / Fanta / Sprite / Zero 250 мл,Coca-cola / Fanta / Sprite / Zero 250 мл,,Coca-Cola / Fanta / Sprite / Zero 250 мл,,Coca-Cola / Fanta / Sprite / Zero 250 ml,
Тассай Emerald 750 мл,Тассай Emerald 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Emerald 750 мл,"Эксклюзивті дизайндағы табиғи су, Тянь-Шанның етегіндегі табиғи су қасиеттерімен.",Tassay Emerald 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tian Shan.
Лимонад Маракуйя-Гуанабана 400 мл,Лимонад Маракуйя-Гуанабана 400 мл,,Құмарқат-гуанабана лимонады 400 мл,,Passion Fruit-Guanabana Lemonade 400 ml,
Лимонад Грушевый твист 900 мл,Лимонад Грушевый твист 900 мл,,Алмұрт твист лимонады 900 мл,,Pear Twist Lemonade 900 ml,
Яблочный фреш,Яблочный фреш,Сладкий и ароматный свежевыжатый сок из спелых яблок.,Яблочный фреш,Піскен алманың тәтті және хош иісті жаңа сығылған сусыны.,Apple freshie,Sweet and aromatic freshly squeezed juice from ripe apples.
Айс ти классический 400 мл,Айс ти классический 400 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық айс ти 400 мл,"Классикалық салқын шай, бай дәмі мен жеңіл салқындығы бар.",Classic iced tea 400 ml,Classic cold tea with a rich taste and a light chill.
Тассай Excellent 750 мл,Тассай Excellent 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Excellent 750 мл,"Эксклюзивті дизайндағы табиғи су, Тянь-Шанның етегіндегі табиғи су қасиеттерімен.",Tassay Excellent 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tian Shan.
Тассай без газа 250 мл,Тассай без газа 250 мл,Натуральная питьевая вода для утоления жажды.,Газсыз Тассай 250 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay still 250 ml,Natural drinking water to quench your thirst.
Лимонад Зеленый остров 400 мл,Лимонад Зеленый остров 400 мл,,Жасыл арал лимонады 400 мл,,Green Island Lemonade 400 ml,
Тропический смузи,Тропический смузи,"Яркое сочетание экзотических фруктов, которые дарят вкус лета и солнечного настроения в каждом глотке.",Тропикалық смузи,Жаздың дәмін және әрбір жұтымда күн сәулесінің көңіл-күйін беретін экзотикалық жемістердің жарқын үйлесімі.,Tropical smoothie,A bright combination of exotic fruits that bring the taste of summer and a sunny mood in every sip.
