needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
"Four Roses Original (0,050)",Four Roses Original 50 мл,,Four Roses Original 50 мл,,Four Roses Original 50 ml,
"Jack Daniels (0,050)",Jack Daniels 50 мл,,Jack Daniels 50 мл,,Jack Daniels 50 ml,
Каша рисовая,Каша рисовая,Нежная рисовая каша с ягодами и сливочным маслом.,Сүтке піскен күріш ботқасы,Жұмсақ күріш ботқасы жидектер мен маймен.,Rice porridge with milk,Tender rice porridge with berries and butter.
Блинчики Классические,Блинчики классические,"Классические блинчики с ягодами, сгущёнкой, клубничным джемом и сметаной",Классикалық құймақтар,"Классикалық құймақтар жидектермен, қоюланған сүтпен, құлпынай джемімен және қаймақпен.",Classic pancakes,"Classic pancakes with berries, condensed milk, strawberry jam, and sour cream."
Скрембл из трех яиц со свежими овощами,Скрембл из трех яиц со свежими овощами,Нежный скрембл со свежим салатом в кисло-сладкой заправке и горячим тостерным хлебом,Үш жұмыртқадан жасалған скрембл жаңа көкөністермен,Жұмсақ скрембл жаңа салатпен қышқыл-тәтті соуспен және ыстық тостер нанымен.,Scrambled eggs from three eggs with fresh vegetables,Tender scrambled eggs with fresh salad in a sweet-and-sour dressing and hot toasted bread.
Каша манная,Каша манная,Нежная молочная каша с ягодами и сливочным маслом.,Жарма ботқасы,Жұмсақ сүт ботқасы жидектер мен маймен.,Semolina porridge,Tender milk porridge with berries and butter.
Омлет с овощамии и малосоленым лососем,Омлет с овощами и малосоленым лососем,"Лёгкий омлет с овощами, шампиньонами, зеленью и малосоленым лососем",Көкөністер мен аз тұздалған қызыл балық қосылған омлет,"Жеңіл омлет көкөністермен, саңырауқұлақтармен, көкпен және тұзды лососеммен.",Omelet with vegetables and lightly salted salmon,"Light omelette with vegetables, mushrooms, herbs, and lightly salted salmon."
Шакшука,Шакшука,"Пряное блюдо из запечённых томатов и болгарского перца с яйцом, подаётся с горячим тостерным хлебом.",Шакшука,"Қыздырылған помидорлар мен болгар бұрышынан дайындалған ащы тағам, жұмыртқамен бірге ыстық тостер нанымен.",Shakshuka,"Spicy dish of baked tomatoes and bell peppers with an egg, served with hot toasted bread."
Глазунья из 3 яйц со шпинатом и грибами ,Глазунья из 3 яиц со шпинатом и грибами ,"Сытный завтрак с жареными шампиньонами, шпинатом, соусом тартар и хрустящим тостерным хлебом.",Үш жұмыртқадан жасалған шпинат пен саңырауқұлақ қосылған глазунья,"Қуырылған саңырауқұлақтармен, шпинатпен, тартар соусымен және қытырлақ тостер нанымен дәмді таңғы ас.",Fried eggs from three eggs with spinach and mushrooms,"Hearty breakfast with fried mushrooms, spinach, tartar sauce, and crispy toasted bread."
Сырники с иримшиком,Сырники с иримшиком,Румяные сырники из иримшика с нежной текстурой и насыщенным вкусом.,Ірімшік қосылған сырники,Алтын реңкті сырниктер жұмсақ құрылыммен және бай дәммен.,Syrniki with cottage cheese,Golden syrniki made from cottage cheese with a delicate texture and rich flavor.
Блины с бананом и горячим шоколадом,Блины с бананом и горячим шоколадом,"Нежные блины с бананом, политые горячим шоколадом для насыщенного вкуса.",Банан мен ыстық шоколад қосылған құймақтар,"Жұмсақ құймақтар бананмен, ыстық шоколадпен тамызылып, бай дәм үшін.",Pancakes with banana and hot chocolate,"Tender pancakes with banana, drizzled with hot chocolate for a rich taste."
