needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Завтраки,Завтраки,,Таңғы ас,,Breakfast,
Закуски,Закуски,,Тіскебасарлар,,Appetizers,
Салаты,Салаты,,Салаттар,,Salads,
Из печи,Из печи,,Тандыр тағамдары,,From the oven,
Супы,Супы,,Сорпалар,,Soups,
Основные блюда,Основные блюда,,Негізгі тағамдар,,Main courses,
Паста,Паста,,Паста,,Pasta,
Гарниры,Гарниры,,Гарнирлер,,Side dishes,
Десерты,Десерты,,Десерттер,,Desserts,
Бургеры и сэндвичи,Бургеры и сэндвичи,,Бургерлер мен сэндвичтер,,Burgers & sandwiches,
Пицца,Пицца,,Пицца,,Pizza,
Холодные напитки,Холодные напитки,,Салқын сусындар,,Cold beverages,
Горячие напитки,Горячие напитки,,Ыстық сусындар,,Hot beverages,
Глинтвейны Безалкогольные,Глинтвейны безалкогольные,,Алкогольсіз глинтвейндер,,Non-alcoholic mulled wine,
Пиво бутылочное,Пиво бутылочное,,Бөтелкедегі сыра,,Bottled beer,
Вино,Вино,,Шарап,,Wine,
Вермут,Вермут,,Вермут,,Vermouth,
Виски,Виски,,Виски,,Whiskey,
Коньяк,Коньяк,,Коньяк,,Cognac,
Мороженое,Мороженое,,Балмұздақ,,Ice cream,
Ром,Ром,,Ром,,Rum,
Кухня,Кухня,,Асхана,,Kitchen,
Бренди,Бренди,,Бренди,,Brandy,
Алкогольные коктейли,Алкогольные коктейли,,Алкогольді коктейльдер,,Alcoholic cocktails,
Водка,Водка,,Арақ,,Vodka,
Ягодные настойки Онегин,Ягодные настойки Онегин,,Оңегин жидек тұнбалары,,Onegin berry infusions,
Джин,Джин,,Джин,,Gin,
Текила,Текила,,Текила,,Tequila,
Бар,Бар,,Бар,,Bar,
