needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Теплый салат с кониной,Теплый салат с кониной,Сытный салат с обжаренной кониной и зеленью,Жылы қазы салаты,Тойымды салат қуырылған қазы мен көкөністермен,Warm salad with horse meat,Hearty salad with fried horse meat and greens
Салат Миконос,Салат Миконос,"Свежие овощи, мясистые оливки, греческий сыр и ремесленных хлеб под оригинальной заправкой",Миконос салаты,"Жаңа піскен көкөністер, етті зәйтүндер, грек ірімшігі және арнайы тұздықпен берілетін қолөнер наны",Mykonos salad,"Fresh vegetables, meaty olives, Greek cheese, and artisan bread with a signature dressing"
Зеленый салат,Зеленый салат,Зеленый салат из свежайших низкокалорийных продуктов,Жасыл салат,Жасыл салат ең жаңа және төмен калориялы өнімдерден,Green salad,Green salad made from the freshest low-calorie ingredients
Салат Патонг,Салат Патонг,"Карамелизированные баклажаны со свежими томатами под азиатским соусом, украшенные кинзой и кунжутными семечками",Патонг салаты,"Карамелденген баклажандар жаңа қызанақтармен азиялық тұздықта, кинза мен күнжіт тұқымдарымен безендірілген",Patong salad,"Caramelized eggplants with fresh tomatoes in an Asian sauce, garnished with cilantro and sesame seeds"
Оливье с лососем,Оливье с лососем,Классический оливье со слабосоленым норвежским лососем и красной икрой,Лосось қосылған Оливье,Классикалық Оливье жеңіл тұздалған норвегиялық лосось пен қызыл уылдырықпен,Olivier salad with salmon,Classic Olivier salad with lightly salted Norwegian salmon and red caviar
Пита ливанская,Пита ливанская,Свежеиспеченная ливанская пита,Ливан питасы,Жаңа піскен ливан питасы,Lebanese pita,Freshly baked Lebanese pita
Фокачча с розмарином,Фокачча с розмарином,Итальянская пшеничная лепешка с розмарином и томатами,Розмарин қосылған фокачча,Розмарин және қызанақ қосылған итальяндық бидай наны,Focaccia with rosemary,Italian wheat flatbread with rosemary and tomatoes
Борщ с казы,Борщ с казы,Наваристый борщ с казы из конины и чесночными пампушками,Қазы қосылған борщ,"Қазы қосылған қою әрі дәмді борщ, сарымсақ пампушкамен беріледі",Borscht with kazy,"Rich and flavorful borscht with horse meat sausage, served with garlic pampushkas"
Солянка,Солянка,Густая солянка с копченой говядиной и курочкой,Солянка,Ысталған сиыр еті мен тауық қосылған қою солянка,Solyanka,Thick solyanka soup with smoked beef and chicken
Жареный рис с цыпленком,Жареный рис с цыпленком,Жареный в азиатском стиле рис с курицей со свежим салатом,Қуыралған тауық етімен күріш,Азиялық стильде қуырылған тауық қосылған күріш пен жаңа піскен салат,Fried rice with chicken,Asian-style fried rice with chicken and fresh salad
Бургер куриный New,Куриный бургер,Классический бургер с сочной котлетой из цыпленка,Тауық бургері,Шырынды тауық котлеті бар классикалық бургер,Chicken burger,Classic burger with a juicy chicken patty
Бургер Ангус,Ангус бургер,Фирменный бургер Чайла с котлетой собственного приготовления из мраморной говядины,Ангус бургері,Мәрмәр сиыр етінен жасалған фирмалық котлет қосылған Чайла бургері,Angus burger,Signature Chayla burger with a homemade marbled beef patty
Чайла донер,Чайла донер из курицы,Фирменный донер ЧайЛа с сочной курочкой,Тауық шайла донері,Шырынды тауық еті қосылған фирмалық Чайла донері,Chayla chicken doner,Signature Chayla doner with juicy chicken
